,appid,Developer
1090,3920,Firaxis Games
1091,237110,NetherRealm Studios
1092,525300,IR Studio
1093,367670,Koga Tech Limited
1094,15100,Ubisoft Montreal
1096,619080,"Outpost Games, Inc."
1097,574070,Desert Owl Games LLC
1098,4850,GSC Game World
1099,462770,Supergiant Games
1100,717790,DistrictWare inc.
1101,412830,MAGES. Inc.
1102,209080,Muse Games
1103,200170,Team17 Digital Ltd
1104,32800,Snowblind Studios
1105,343360,Microblast Games
1106,596690,Vyacheslav Shilikhin
1107,535230,DolphinBarn
1108,383870,Campo Santo
1109,363680,Tindalos Interactive
1110,284950,DL Softworks
1111,298240,"Rocketeer Games Studio, LLC"
1112,267530,TT Fusion
1113,263500,Wyrmbyte
1114,228380,Bugbear
1115,457590,Funtime
1116,287920,Star Vault AB
1117,252610,Rocketcat Games
1118,327690,Motiga Inc.
1119,337320,South East Games
1120,266410,iRacing.com Motorsport Simulations
1121,562080,Dynamic Pixels
1122,493730,LEVER Software
1123,565860,VladCastillo
1124,34460,Firaxis Games
1125,248170,Clickteam
1126,225640,Ascaron
1127,108800,Crytek Studios
1128,447530,Sukeban Games
1129,536220,Telltale Games
1130,329000,New Reality Games
1131,208090,Edge of Reality
1132,509110,Blastoid Entertainment
1133,405900,"Nippon Ichi Software, Inc."
1134,213610,SEGA
1135,617830,SUPERHOT Team
1136,510510,Visual Concepts
1137,323850,Those Awesome Guys
1138,511680,Marvelous Inc.
1141,547680,Hyper Hippo Games
1142,329050,"CAPCOM Co., Ltd."
1143,667600,Infinite Dreams
1144,621880,Ntroy LTD
1145,226580,Codemasters
1146,43160,4A Games
1147,251150,Nihon Falcom
1148,287980,Dinosaur Polo Club
1149,281640,Stoic
1150,597220,Asymmetric
1151,665360,Lighthouse Games Studio
1152,274520,Acid Wizard Studio
1153,507490,Stardock Entertainment
1154,24240,OVERKILL Software
1156,282900,"IDEA FACTORY Co., Ltd."
1157,524580,IDEA FACTORY
1158,553640,FantaBlade Network
1159,356040,Unicube
1160,7600,Firaxis Games
1161,410110,Ink Stains Games
1163,654880,Game Grumps
1164,474750,Nerial
1165,533780,Home Net Games
1166,433350,Vertigo Games America
1167,285330,Chris Sawyer Productions
1168,471550,Frozenbyte
1170,241540,Undead Labs
1171,40990,Illusion Softworks
1172,375010,Sometimes You
1173,258010,Triple.B.Titles
1174,108710,Remedy Entertainment
1175,602940,StarSystemStudios
1176,581670,Ardi Studio
1177,257850,Heart Machine
1178,614860,WindThunder Studio
1179,526160,HypeTrain Digital
1180,48000,Playdead
1181,439700,NantG
1182,341000,Eggcode
1183,351510,"Jackbox Games, Inc."
1184,459220,Ensemble Studios
1185,315660,N3V Games
1186,467370,Four Winged Studio
1187,4560,Relic Entertainment
1188,457330,Cruderocks
1189,10680,Rebellion
1190,391460,Novalink
1191,25900,1C Entertainment
1192,372360,BANDAI NAMCO Entertainment Inc.
1193,467960,TPP Studio
1194,597170,Doborog Games
1195,292990,"KOEI TECMO GAMES CO., LTD."
1196,630,Valve
1197,425160,2D Heroes
1198,588220,Massive Entertainment
1199,250320,Telltale Games
1200,7670,2K Boston
1201,281610,Blackbird Interactive
1202,214510,Traveller's Tales
1203,562430,Four Winged Studio
1204,257170,Northway Games
1205,243970,Klei Entertainment
1206,304430,Playdead
1207,282140,Frictional Games
1208,723790,Home Net Games
1209,433530,JetCat Games
1210,217750,Funcom
1211,443810,Weappy Studio
1212,501300,Giant Sparrow
1213,593280,The Gentlebros
1214,399000,CleanWaterSoft
1216,330830,Telltale Games
1217,402430,Out of the Park Developments
1218,215830,Naddic Games
1219,204030,Lionhead Studios
1220,357900,Sometimes You
1221,251730,Almost Human Games
1222,503560,Jutsu Games
1223,317470,Cosmic Cow LLC
1224,342310,Leonard Menchiari
1225,25800,Paradox Development Studio
1226,208200,id Software
1227,683900,Origin8 Technologies Ltd.
1228,649900,"Riposte Games & Co, Inc"
1229,252470,MinMax Games Ltd.
1230,423580,SomaSim
1231,238370,Pieces Interactive
1232,424840,Tarsier Studios
1233,115320,Radical Entertainment
1234,259680,Netcore Games
1235,237990,Stoic
1236,659460,Triple Rush Games
1237,410980,SimTex
1238,476460,Jon Gallant
1239,327070,Black Eye Games
1240,17300,Crytek
1241,207170,Almost Human Games
1242,564230,"Spike Chunsoft Co., Ltd."
1243,748370,raptor lab
1244,3330,"PopCap Games, Inc."
1245,258970,Arrowhead Game Studios
1246,32430,LucasArts
1247,581130,"Shanghai JingCai Computer Software Development Co., Ltd"
1248,592260,Pyromancers.com
1249,19900,Ubisoft Montreal
1250,354290,"CRAZYDIAMOND CO., LTD."
1251,339280,S2 Games
1252,386620,Vertigo Gaming Inc.
1253,597840,DesktopPaints LLC
1254,345260,CREATIVE ASSEMBLY
1255,507400,Secret Society Games
1256,610670,azimut team
1257,539440,Matt Hooper
1258,235460,PlatinumGames
1259,398850,Fishing Cactus
1260,376870,Telltale Games
1261,757570,Tango Gameworks
1262,697610,Upturn Games
1263,438140,White Wizard Games
1264,250760,Yacht Club Games
1265,314980,BattleGoat Studios
1266,12200,Rockstar New England
1267,317400,Prism Game Studios Ltd.
1268,510630,Soccer Manager Ltd
1269,303390,Microblast Games
1270,463100,Nikita Nefedov
1271,406290,"Playdek, Inc."
1272,107100,Supergiant Games
1273,322190,Image & Form Games
1274,400910,CreSpirit
1275,222480,Capcom
1276,240760,inXile Entertainment
1277,568770,Dicesuki
1278,34270,D3T Limited
1279,451130,Mirinae
1280,2600,Troika Games
1281,619310,Glyph Worlds
1282,224900,Reality Pump
1283,269470,Screaming Bee
1284,475550,Warm Lamp Games
1285,345180,Haemimont Games
1286,619340,NEZOS GAMES
1288,259060,Illwinter Game Design
1289,582550,Flamebait Games
1290,245470,Positech Games
1291,502370,Straylight Entertainment
1292,222750,Eugen Systems
1293,619910,nanos GbR
1295,495280,"Nippon Ichi Software, Inc."
1296,206210,"Monolith Productions, Inc."
1297,17520,Synergy Team
1298,304240,"CAPCOM Co., Ltd."
1299,453980,Fifth Dimension Company
1300,215930,I-deal Games
1301,18500,Hidden Path Entertainment
1302,321400,Supra Games
1303,306760,Cyan Inc.
1304,6860,Io-Interactive A/S
1305,380840,Teeworlds Team
1306,632300,Perun Creative
1307,423710,New Reality Games
1308,322780,Bossa Studios
1309,510660,Playata GmbH
1310,484900,Mothership Entertainment LLC
1311,466910,Freakinware Studios
1312,7200,Nadeo
1313,437920,WeirdBeard
1314,318020,Eugen Systems
1315,620130,QuickSave
1316,464350,Screeps
1317,17430,EA Black Box
1318,381990,Gravity Interactive
1319,509240,Petrodiy-Games
1320,502800,Tamsoft
1321,522230,Robot Riot UG (haftungsbeschränkt)
1322,621830,KT Racing
1323,250340,Eric Hartman
1324,23310,Square Enix
1325,220260,Giants Software
1326,468920,Bit Golem
1327,233840,Team17 Digital Ltd
1328,633880,EHTechnology
1329,221910,Galactic Cafe
1330,349720,T3 Entertainment
1331,300080,CREATIVE ASSEMBLY
1332,452230,Synapse Games
1333,248610,KillHouse Games
1334,40980,FireFly Studios
1335,235380,Nival
1336,528740,Hunted Cow Studios
1337,575720,Panoramik Inc
1338,598960,Jan Zelený
1339,533150,CharlieH
1340,400170,NeocoreGames
1341,427730,Evil Tortilla Games
1342,204450,Techland
1343,543460,"Capcom Game Studio Vancouver, Inc."
1344,542340,StalkerAlex
1345,253490,ESTgames Corp.
1346,365450,Team Fractal Alligator
1347,55140,Double Helix Games
1348,741260,Shanghai huan zhen Info Tech Ltd
1349,442120,Zen Studios
1350,383800,Raconteur Games
1351,344230,DL Softworks
1352,426000,HuniePot
1353,57300,Frictional Games
1354,250400,Eko Software
1355,457730,Zillion Whales
1356,547960,Amaterasu Software
1357,385070,Astronomic Games
1358,552590,Cavalier Game Studios
1359,234670,CyberConnect2 Co. Ltd.
1360,205610,Gaming Minds Studios
1361,1930,Reality Pump Studios
1362,491650,Panda Indie Studio
1363,304410,Matthew Brown
1364,34440,Firaxis Games
1365,361280,Gamious
1366,571310,Image & Form Games
1368,564310,Croteam
1370,218640,Shiver Games
1371,441960,SCS Software
1372,206190,Suspicious Developments
1373,579230,Synnergy Circle Games
1374,458710,Ironhide Game Studio
1375,291860,The Behemoth
1376,345090,Moonlight Mouse
1377,414700,Red Barrels
1378,100,Valve
1379,622920,BrainStrainStudios
1380,650000,id Software
1381,377310,Wulo Games
1382,6000,LucasArts
1383,4570,Relic Entertainment
1384,735570,SEROSOO
1385,264200,Silver Dollar Games
1386,498240,Telltale Games
1387,9350,Gas Powered Games
1388,204120,Traveller's Tales
1389,225420,Colossal Order Ltd.
1390,329130,Anisoptera Games
1391,732430,GrizzlyGames
1392,20500,Volition
1393,602520,NEKO WORKs
1394,609940,Ankama Studio
1395,418650,I-Illusions
1396,406150,Dominique Grieshofer
1397,32510,Traveller's Tales
1398,57740,Coreplay GmbH
1399,47400,FireFly Studios
1400,467010,Luke Dodds
1401,246420,Ironhide Game Studio
1402,20570,Relic Entertainment
1403,378370,Diminished Studios
1404,1280,Darklight Games
1405,214560,Klei Entertainment
1406,431180,eduweb
1407,675260,Telltale Games
1408,202170,United Front Games
1409,286570,Codemasters
1410,404590,Games Farm
1411,581100,Atum Software
1412,397950,Landfall
1413,596650,Avallon Alliance
1414,648430,Hi-Rez Studios
1415,394310,Lazy Bear Games
1416,16700,Firefly Studios
1417,65540,Piranha Bytes
1418,324270,Polygon Art
1419,423770,John Wizard
1420,250520,Stygian Software
1421,330840,Telltale Games
1422,17410,DICE
1424,20,Valve
1425,585410,YoYo Games Ltd.
1427,237930,Supergiant Games
1428,50,Gearbox Software
1429,527430,NeocoreGames
1430,442070,"Jackbox Games, Inc."
1432,492090,ARTDINK
1433,55150,Relic
1434,578620,Free Lives
1435,45740,Capcom Vancouver
1437,12810,Triumph Studios
1438,2990,Bugbear Entertainment
1439,574810,Vyacheslav Shilikhin
1440,507360,Magicbane
1441,470220,Ubisoft Entertainment
1442,269770,Pixel Ferrets
1445,388750,Arc System Works
1446,346120,Spasman Games
1447,363930,Silent Dreams
1448,435030,FIVE-BN GAMES
1449,350640,Frogwares
1450,658980,encurio
1451,608560,YarGri
1452,228260,Stardock Entertainment
1453,238260,FarSight Studios
1454,392950,FIVE-BN GAMES
1455,3620,"PopCap Games, Inc."
1456,637100,Sonic Team
1457,327400,"MicroProse Software, Inc"
1458,694130,upjers
1459,244030,Bohemia Interactive
1460,245490,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev"
1461,517790,Impressions Games
1462,311730,Team NINJA
1464,213330,TT Games
1465,300790,SmiteWorks USA LLC
1466,547900,Solecismic Software
1467,234080,MercurySteam - Climax Studios
1468,50300,YAGER
1469,559650,Barrel Roll Games
1470,333600,NEKO WORKs
1471,34830,City Interactive
1472,715310,Acute Games
1473,22600,Team17 Digital Ltd
1474,438490,BANDAI NAMCO Studio
1475,588210,Zero Gravity
1476,422900,Knuckle Cracker
1477,561590,Childish Things
1478,6030,Raven Software
1479,418340,Rooster Teeth Games
1480,239070,Crackshell
1481,578260,Blaiz Entertainment
1482,218510,Targem Games
1483,12100,Rockstar Games
1484,288140,PERFECT PARALLEL
1485,300380,"EQ-Games , Pixel Dash Studios"
1486,435440,FX Games Media
1487,332070,"JumpStart Games, Inc."
1488,12140,Remedy Entertainment
1489,17570,Octoshark Studios
1490,206500,Carbon Games
1491,421040,VaragtP
1492,486310,Might and Delight
1493,384490,Harebrained Schemes
1495,381640,IT Territory
1497,351940,Gaming Corps AB
1498,244770,"Schine, GmbH"
1499,314150,DotEmu
1500,525920,Cyanide Studio
1501,298050,NGD Studios
1502,8190,Avalanche Studios
1503,24780,EA - Maxis
1504,329430,Undead Labs
1505,565380,Panoramik Inc
1506,558100,Game Science
1507,366440,"S2 Games, LLC"
1508,418240,Mimimi Productions
1509,600750,Disruptor Beam Inc.
1510,231120,SCS Software
1511,238010,Eidos Montreal
1512,207140,DoubleDutch Games
1514,493900,Realmforge Studios
1515,234330,Demiurge Studios
1516,257350,Beamdog
1517,202970,Treyarch
1518,296870,Asteristic Game Studio
1519,265630,Fistful of Frags Team
1520,563560,Reactive Drop Team
1521,572410,Eugen Systems
1522,463110,Ethrea Dreams
1523,224580,Bohemia Interactive
1524,362960,Obsidian Entertainment
1525,418370,"CAPCOM Co., Ltd."
1526,206480,"Standing Stone Games, LLC"
1527,414340,Ninja Theory
1528,268050,Tango Gameworks
1529,385770,Proton Studio Inc
1530,350080,MachineGames
1531,355180,Hoobalugalar_X
1532,313120,Beam Team Games
1533,595280,Imperium42® Game Studio
1534,225840,Sven Co-op Team
1535,201310,Egosoft
1536,552700,Square Enix
1537,389570,Freakinware Studios
1538,463710,Evermore Game Studios
1539,289950,weltenbauer. Software Entwicklung GmbH
1541,41700,GSC Game World
1542,585790,Maximus.ez
1543,514660,Vladimir Shlapak
1544,274920,Holotech Studios
1546,614570,Arkane Studios
1547,239820,Greenheart Games
1548,320300,Red Dot Games
1549,39540,Phenomic
1550,509930,Anamik Majumdar
1551,312450,The Artistocrats
1552,436150,Azerion
1553,307690,United Front Games
1554,207610,Telltale Games
1555,99900,"Grey Havens, LLC"
1556,274940,Digital Confectioners
1557,249050,AMPLITUDE Studios
1558,403190,Madruga Works
1559,409710,2K Boston
1560,410320,SANDLOT
1561,552100,Lukas Rustemeyer
1562,242860,M2H
1563,24980,BioWare
1564,224600,Trion Worlds
1565,448780,Talentplace
1566,690510,O'olBlue Inc.
1567,2700,Frontier
1568,610180,"Jackbox Games, Inc."
1569,102500,Big Huge Games
1570,664430,Visual Concepts
1571,480650,Other Ocean Interactive
1572,636040,Kukouri Mobile Entertainment
1573,268650,Brilliant Skies Ltd.
1574,209170,Infinity Ward
1575,387290,Moon Studios GmbH
1576,285900,Boneloaf
1577,238320,Red Barrels
1578,611500,id Software
1579,270150,Osumia Games
1580,40100,Gas Powered Games
1581,405310,Traveller's Tales
1582,352400,TT Games Ltd
1583,528300,Frisky Fatal Games
1584,454690,Harotobira
1585,208480,Ubisoft Montreal
1586,486150,Autonomic Interactive
1587,57690,Haemimont Games
1588,386070,Planetary Annihilation Inc
1589,378540,Deck13
1590,21690,Capcom
1591,56400,Relic Entertainment
1592,375910,Blue Byte
1593,394510,Arrowhead Game Studios
1594,668630,HL-Galgame
1595,582500,Total Mayhem Games
1597,17460,BioWare
1598,241560,Ivory Tower in collaboration with Ubisoft Reflections
1600,4500,GSC Game World
1601,44350,Codemasters Racing
1602,397060,Abrakam SA
1603,48240,Blue Byte
1604,406090,Thorngames
1605,438640,Traveller's Tales
1606,547040,Sachonski
1607,444460,Hybriona Labs
1608,341380,HCP Games
1609,557780,Woolf
1610,214490,Creative Assembly
1611,489520,BetaDwarf
1613,391660,Astronomic Games
1614,248820,Hopoo Games
1615,242680,Vlambeer
1616,705220,Camex Games
1617,635260,CarX Technologies
1618,552110,"Grey Havens, LLC"
1619,2820,Egosoft
1621,384480,Cybernetik Design
1622,402570,Trion Worlds
1623,4920,Unknown Worlds Entertainment
1624,461910,Panoramik Inc
1625,273350,Turtle Rock Studios
1626,278080,"KOEI TECMO GAMES CO., LTD."
1627,6020,Raven Software
1628,585560,Tero Lunkka
1629,232910,Nadeo
1630,48190,Ubisoft Montreal
1631,346940,Harebrained Schemes
1632,39150,Square Enix
1633,276810,Rogue Factor
1634,339800,HuniePot
1635,35140,Rocksteady Studios
1637,35720,Frozenbyte
1638,220700,KADOKAWA
1639,223100,Dambuster Studios
1640,575570,Anea_Duo_Dev
1641,251040,OVERKILL - a Starbreeze Studio.
1642,530700,Bohemia Interactive
1643,230290,Giant Army
1644,311560,Ubisoft Sofia
1645,403560,Space Cat Studios
1646,63380,Rebellion
1647,616360,EHTechnology
1648,312060,Square Enix
1649,17480,EA Los Angeles
1650,223750,Eagle Dynamics SA
1651,456670,Defiant Development
1652,462930,Hyper Hippo Games
1653,48220,Blackhole
1654,704040,Autotelic Games LLC
1655,448510,Ghost Town Games Ltd.
1656,644560,KAGAMI WORKs
1657,505460,Clapfoot
1658,544730,Exozet
1659,316390,Cybertime System
1660,3830,Double Fine Productions
1661,383980,Dan Fornace
1662,397460,"Jackbox Games, Inc."
1663,205710,Daybreak Game Company
1664,265930,Coffee Stain Studios
1665,496690,Uncle Frost Team
1666,466580,Marco Tancredi
1667,414530,Allods Team
1668,285310,Chris Sawyer Productions
1669,525480,CyberConnect2
1670,233860,Lo-Fi Games
1671,431730,David Capello
1672,371460,Creobit
1673,462030,Riviysky
1674,47870,Criterion Games
1675,342970,Sachonski
1676,300550,Harebrained Schemes
1679,402710,Fenix Fire Entertainment
1680,39500,Piranha Bytes
1681,428690,U-Play Online
1682,320,Valve
1683,568220,Project Moon
1684,413420,"Spike Chunsoft Co., Ltd."
1685,25890,Paradox Development Studio
1686,321960,Limbic Entertainment
1687,436520,BlackSpot Entertainment
1688,575860,Amaterasu Software
1689,513590,exagongames
1690,301120,Sports Interactive
1692,326360,AIGRIND
1693,527770,Anatoliy Loginovskikh
1694,357310,Shining Pixel Studios
1695,386940,Clever Endeavour Games
1696,362890,Crowbar Collective
1697,574640,RandomSpin
1698,4580,Relic Entertainment
1700,360170,Eko Software
1701,538680,Nihon Falcom
1702,65800,Trendy Entertainment
1703,631530,Vyacheslav Shilikhin
1704,734580,Thunder Devs.
1705,254700,Capcom
1706,420,Valve
1707,257510,Croteam
1708,20510,GSC Game World
1709,24720,EA - Maxis
1710,321360,Circle Five Studios
1711,290340,League of Geeks
1713,555920,GDNomad
1714,282800,Orange_Juice
1717,493490,"Forward Development, Ltd."
1718,400040,ShareX Team
1719,622650,Joey Drew Studios Inc.
1720,78000,"PopCap Games, Inc."
1721,460790,PlatinumGames
1722,219780,Larian Studios
1723,40950,FireFly Studios
1724,443110,Obsidian Entertainment
1725,355790,Cyanide Studio
1726,486480,Tero Lunkka
1727,262410,Noble Empire Corp.
1728,223470,Running With Scissors
1729,12110,Rockstar Games
1730,323470,DIMPS
1731,17450,BioWare
1732,512020,GamersHype Productions
1733,375230,Behaviour Interactive Inc.
1734,239030,Lucas Pope
1735,397340,"Jundroo, LLC"
1736,247080,Brace Yourself Games
1737,258700,Eyedentity Games
1738,524660,Rutony Studio
1739,388410,Gunfire Games
1740,239160,Eidos-Montréal
1741,376570,Carbine Studios
1742,373930,Kite Games
1743,39550,Phenomic
1744,244160,Gearbox Software
1745,353640,Alexey Davydov
1746,292120,Square Enix
1747,351970,BANDAI NAMCO Studio Inc.
1748,243470,Ubisoft
1749,662320,"RED DUCK, INC."
1750,15620,Relic Entertainment
1751,204100,Rockstar Studios
1752,331670,"Jackbox Games, Inc."
1753,542550,PanGuoJun
1755,17500,Zombie Panic Team
1756,578330,Traveller's Tales
1757,38400,Interplay Inc.
1758,445190,Logic Artists
1759,485390,Proteus Studios
1760,633460,Blackmill Games
1761,591960,Synapse Games
1762,34870,City Interactive
1763,208140,AMPLITUDE Studios
1764,307960,1C Game Studios
1765,324080,JIW-Games
1766,201790,Robot Entertainment
1767,39680,Rune Forge
1768,378720,MuHa Games
1769,40960,FireFly Studios
1770,298630,Mouldy Toof Studios
1771,24790,EA Los Angeles
1772,313690,TT Games Ltd
1773,427100,TML-Studios
1774,235600,Ubisoft Toronto
1775,462780,KAIKO
1776,600600,EcoGames
1777,377840,Square Enix
1778,450540,RUST LTD.
1779,493840,Capcom
1780,717640,Nerial
1781,291410,Counterplay Games Inc.
1782,108200,Days of Wonder
1783,45760,Capcom
1784,9200,id Software
1786,227320,YouNeedABudget.com
1787,541210,Killerfish Games
1788,587260,Nihon Falcom
1789,584400,Christian Whitehead
1790,397580,PatchNoteStudio
1791,599100,Anatoliy Loginovskikh
1792,428950,16bit Nights
1793,471710,Against Gravity®
1794,634160,Falcon Development
1795,496300,Noio
1796,392780,Lantana Games
1797,288470,Lionhead Studios
1798,16810,Firaxis Games
1799,537800,Runner Duck
1800,395380,Wojciech Krupinski
1801,268130,Suspicious Developments
1802,234650,Harebrained Schemes
1803,228180,Mirillis
1804,262280,Realmforge Studios
1806,248570,Nabi Studios
1807,576050,SharF Co.
1808,235340,Nival
1809,726390,PuzzleRoo
1810,242640,Cyanide Studio
1811,629030,Idea Cabin
1812,532030,Eternity Studios
1813,388440,The Light Sword Team
1814,527800,Artur Rezende
1815,567640,"Spike Chunsoft Co., Ltd."
1816,467390,Dymchick1
1817,253250,Radiant Entertainment
1818,500940,PSY LABS
1819,386700,Vertigo Gaming Inc.
1820,342180,Vertigo Games
1821,515690,RPG Video
1822,41070,Croteam
1823,606050,ArteG
1826,626010,Ultrabit
1828,255220,Codemasters Racing
1829,620940,Retrific
1830,539450,Anatoliy Loginovskikh
1831,214730,SNK Games
1832,673610,Apoapsis Studios
1833,201230,Daybreak Game Company
1834,383080,Winged Cloud
1835,451020,Airship Syndicate
1836,447990,The Light Sword Team
1837,503820,Amaterasu Software
1838,413410,"Spike Chunsoft Co., Ltd."
1839,280220,Knuckle Cracker
1840,2630,Infinity Ward
1841,209160,Infinity Ward
1842,487120,Blue Isle Studios
1843,233130,Flying Wild Hog
1844,582430,Maximus.ez
1845,420290,Mastfire Studios Pty Ltd
1846,42910,Arrowhead Game Studios
1847,9880,Cryptic Studios
1848,361800,oddonegames
1849,302670,Digitalmindsoft
1850,7940,Infinity Ward
1851,302590,Subvert Games
1852,380,Valve
1853,415960,Sometimes You
1854,360450,Absorb Reality
1855,520440,Arc System Works
1856,32440,Traveller's Tales
1857,461890,Outlands
1858,252150,Spicyhorse Games
1859,586140,Arc System Works
1861,253230,Gears for Breakfast
1862,396750,ROCKFISH Games
1863,244930,Poppermost Productions
1864,383580,S.C. 16 BIT NIGHTS S.R.L.
1865,250820,Valve
1866,208500,Codemasters Birmingham
1867,601340,AL-GAME
1868,390670,ICE Entertainment
1869,324800,Flying Wild Hog
1870,245170,Lab Zero Games
1871,606330,MrCiastku
1872,247000,Nomad Games
1873,354640,Blue Byte
1874,241600,Cellar Door Games
1875,589870,Light Bringer Games inc.
1876,412600,Leo B
1877,287290,"CAPCOM Co., Ltd."
1878,331600,"KOEI TECMO GAMES CO., LTD."
1879,619400,Amaterasu Software
1880,38410,Black Isle Studios
1881,448640,Soul Catapult
1882,591560,Panda Indie Studio
1883,481510,Infinite Fall
1884,519190,SOFF Games
1885,210970,"Thekla, Inc."
1886,261110,KADOKAWA GAMES / GRASSHOPPER MANUFACTURE
1887,201870,Ubisoft Montreal
1888,253880,Reality Pump Studios
1889,39510,Piranha Bytes
1890,491530,Crenetic GmbH Studios
1891,296490,Game in a Bottle
1892,366090,Pipliz
1893,644930,Numantian Games
1894,448630,Sekerin Productions
1895,450390,Valve
1896,219150,Dennaton Games
1897,261570,Moon Studios GmbH
1898,222940,SNK CORPORATION
1899,293260,Blue Manchu
1900,246900,RuneStorm
1901,332570,Fayju
1902,591740,Gameloft
1904,705120,NEXT Studios
1905,369990,Alexey Bokulev
1906,249230,Piranha Bytes
1907,230190,Brightrock Games
1908,351030,DL Softworks
1909,376730,D-Games
1910,535260,BadWolf Games
1911,24810,EA Los Angeles
1912,341800,Steel Crate Games
1913,655780,Tasharen Entertainment Inc.
1914,732730,"Rocketeer Games Studio, LLC"
1915,530070,Dovetail Games
1916,322500,SUPERHOT Team
1917,12220,Rockstar North / Toronto
1918,10540,Sports Interactive
1919,512470,Home Net Games
1921,528070,Creobit
1922,493370,Playsaurus
1923,271240,Mohawk Games
1924,515470,Czester16
1926,324310,stillalive studios
1928,290300,Double Damage Games
1929,301640,Rebellion
1930,644570,Dieselmine
1931,400250,Fabio Ferrara
1932,409720,2K Marin
1933,9480,Volition
1934,425340,1CC Games
1935,24740,Criterion Games
1936,463210,Lapovich
1937,24800,EA Los Angeles
1938,480430,Funcom
1939,209660,Sledgehammer Games
1940,283640,Ska Studios
1941,428900,KHB-Soft
1942,523150,Creobit
1943,383150,Techland
1944,372800,Marxnet
1945,427490,Grey Alien Games
1946,220440,Ninja Theory
1947,15370,Nival
1949,326160,Portalarium
1950,30,Valve
1951,22300,Bethesda Game Studios
1952,431600,Reiza Studios
1953,223330,BlackMark Studio
1954,272270,inXile Entertainment
1955,327030,Team17 Digital Ltd
1956,438010,Frozenmark Games
1957,294860,SEGA
1958,444480,Mihai Morosanu
1959,263560,Ultra Runaway Games
1961,296300,Aquiris Game Studio
1962,404410,Michael Zahniser
1963,304650,Failbetter Games
1964,230230,Larian Studios
1965,570840,Team Nekojishi
1966,496240,Downpour Interactive
1968,412170,Astronomic Games
1969,11610,Eyedentity Games Inc.
1970,330070,MAGIX Software GmbH
1971,544610,Black Lab Games
1972,512900,Matt Dabrowski
1973,362620,Coredumping
1974,15170,Nival
1975,408760,Cyanide Studio
1976,518030,ProGames Studio
1978,477770,Milestone S.r.l.
1979,658160,Slikey Games
1980,321800,Beamdog
1981,22100,TaleWorlds Entertainment
1982,21130,TT Games
1983,203350,1C-SoftClub
1985,252690,"SmiteWorks USA, LLC"
1986,367450,Dry Cactus
1987,73170,Martin Ivanov
1988,311860,New Reality Games
1989,482920,Playata GmbH
1990,568570,A.Y.std
1991,562760,Nuked Games
1992,394690,PixelTail Games
1993,64000,Digitalmindsoft
1994,227860,Sauropod Studio
1995,34000,Sports Interactive
1997,429050,Old B1ood
1998,209650,Sledgehammer Games
1999,304730,Urban Games
