,appid,Publisher
244,220,Valve
245,393420,Bankroll Studios
246,22330,Bethesda Softworks
247,20920,CD PROJEKT RED
248,253710,Expansive Worlds
249,3910,2K
250,516750,Amistech Games
251,252530,Aerosoft GmbH
252,360430,2K
253,612020,Berzerk Studio
254,391540,tobyfox
255,12120,Rockstar Games
257,20900,CD PROJEKT RED
258,342200,Piranha Games Inc.
259,431240,Team17 Digital Ltd
260,466560,Shiro Games
261,6060,Lucasfilm
262,10090,Activision
263,339600,KIXEYE
264,339610,Joycity
265,333420,GSC Game World
266,212500,"Standing Stone Games, LLC"
267,235540,Fatshark
268,269210,Panic Art Studios
269,531640,Dire Wolf Digital
270,65930,2K
271,310950,Capcom
272,275850,Hello Games
273,367500,Capcom
274,448440,Proximity Games
275,12210,Rockstar Games
276,226840,Paradox Interactive
277,601430,Bethesda Softworks
278,675010,Focus Home Interactive
279,17390,Electronic Arts
280,1840,Valve
281,646570,Mega Crit Games
282,297000,Ubisoft Entertainment
283,113400,Little Orbit
284,612510,"Project ""The Game"""
285,263280,Oovee® Game Studios
286,206420,Deep Silver
287,236870,IO Interactive A/S
288,624120,SEGA
289,220240,Ubisoft
290,521890,tinyBuild
291,438100,VRChat Inc.
292,299740,Entrada Interactive LLC
293,65980,2K
294,219640,Torn Banner Studios
295,588650,Motion Twin
296,442080,Nexon America
297,55230,Deep Silver
298,221680,Ubisoft
300,208580,LucasArts
302,459820,Sad Panda Studios
303,310560,Codemasters
304,434650,Another Indie
305,393430,Iceflake Studios
306,71270,SEGA
307,200710,Runic Games
308,205100,Bethesda Softworks
309,349040,BANDAI NAMCO Entertainment
310,300,Valve
311,213670,Ubisoft
312,50130,2K
313,334230,BlankMediaGames
314,319630,Square Enix
315,245620,Kalypso Media Digital
316,204880,Stardock Entertainment
317,449540,K Bros Games
318,451340,Code Horizon
319,80,Valve
321,376210,Afterthought LLC
322,488790,Ubisoft
323,542650,Alekseev
325,429660,BANDAI NAMCO Entertainment
326,35450,Tripwire Interactive
327,313160,Giants Software
328,455940,irritatingFLY studio
329,447820,New World Interactive
330,286690,Deep Silver
331,607890,BANDAI NAMCO Entertainment
332,251060,Focus Home Interactive
333,375450,"KOEI TECMO GAMES CO., LTD."
334,657200,HFM Games
335,304030,Trion Worlds
336,311690,Devolver Digital
337,47410,FireFly Studios
338,42710,Activision
339,592600,Konami Digital Entertainment  
340,24200,Daybreak Game Company
341,627270,WB Games
342,236110,Trendy Entertainment
343,438020,New Reality Games
344,1250,Tripwire Interactive
345,207890,SEGA
346,365670,Blender Foundation
347,307780,Warner Bros. Interactive Entertainment
348,42680,Activision
349,108600,The Indie Stone
350,454180,Anea_Duo_Dev
351,454150,Firehawk Studios
352,564710,Armor Games Studios
353,361420,System Era Softworks
354,285190,SEGA
355,10180,Activision
356,113200,Edmund McMillen
357,287390,Deep Silver
359,363890,Degica
360,357290,KishMish Games
361,204360,The Behemoth
362,374040,505 Games
363,269950,Laminar Research
365,465650,Out of the Park Developments
366,641990,Team17 Digital Ltd
367,557400,Holyday Studios
368,537180,MOVE ON USA CO.
369,215080,Ankama Games
370,289130,SEGA
373,302830,Novalink
374,8870,2K
375,204300,Ronimo Games
376,224260,Lever Games
378,212160,NEXON Korea Corp. & NEXON America Inc.
379,558990,Zachtronics
380,3900,2K
381,589290,Anvil Game Studios
382,502520,Game-Labs
383,550470,Gameforge 4D GmbH
384,609150,Square Enix
385,496460,Bitbox Ltd.
386,32370,LucasArts
387,466170,Shugasu GmbH
388,9450,SEGA
389,203290,U.S. Army
390,306020,Ninja Kiwi
391,287450,Xbox Game Studios
392,42960,Paradox Interactive
393,610120,Anate Studio
395,236690,Focus Home Interactive
397,434170,"Jackbox Games, Inc."
398,370240,2K
399,427270,Robot Entertainment
400,2870,Egosoft
401,446150,"PlayStation Mobile, Inc."
402,234630,Slightly Mad Studios
403,249130,Warner Bros. Interactive Entertainment
404,685310,Coconut Shavers
405,226860,Stardock Entertainment
406,236430,BANDAI NAMCO Entertainment
407,47810,Electronic Arts
408,200260,Warner Bros. Interactive Entertainment
409,238090,Rebellion
410,228280,Beamdog
411,285920,Payload Studios
412,210770,Coffee Stain Publishing
413,268420,Aeria Games
414,400,Valve
415,368070,CI Games
416,331470,Soviet Games
417,495910,Neople
418,312530,Adult Swim Games
419,238460,The Behemoth
420,311310,Game-Labs
422,365960,Studio 397
423,581600,JDRumble
424,722060,Illwinter Game Design
425,365360,Overhype Studios
426,292730,Activision
427,70,Valve
429,388660,JDRumble
430,368500,Ubisoft
431,24960,Electronic Arts
433,225260,Double Fine Productions
434,211500,Sector3 Studios
435,40970,FireFly Studios
436,237310,KOG Games
437,33230,Ubisoft
438,333950,Keen Software House
440,289650,Ubisoft
441,555830,Patagoniart
442,474960,Microsoft Studios
443,391040,Codemasters
444,215280,Funcom
446,666220,Unreal Software
448,545580,Neon Green Pin Games
449,246620,Ndemic Creations
450,42700,Activision
451,332310,Warner Bros. Interactive Entertainment
452,212070,Gaijin Entertainment
453,366220,Plug In Digital
454,282440,Bethesda Softworks
455,299360,Toadman Interactive
456,431560,Atriagames
457,22370,Bethesda Softworks
458,500,Valve
459,248390,Black Maple Games
461,344760,Code}{atch
462,371660,Ubisoft
463,203140,Io-Interactive A/S
464,562730,Badim
465,39120,Trion Worlds
466,571740,Perfuse Entertainment
467,619330,Alekseev
468,212200,Nexon America Inc.
470,355840,Vostok Games
471,554620,Square Enix
472,526290,TrisPix Studio
473,672680,Bytro Labs GmbH
474,274190,Devolver Digital
475,624140,SEGA
476,9420,Square Enix
477,636480,SteelRaven7
478,268400,Slitherine Ltd.
479,110800,Rockstar Games
480,412290,New Reality Games
481,221040,Capcom
482,48720,TaleWorlds Entertainment
483,414070,Atriagames
484,232890,FireFly Studios
485,39140,Square Enix
486,11020,Ubisoft
488,22320,Bethesda Softworks
489,647830,Warner Bros. Interactive
490,421020,Codemasters
491,3590,"PopCap Games, Inc."
492,460920,Ubisoft
493,678800,Ninja Kiwi
494,463530,Slug Disco Studios
495,359870,Square Enix
496,420360,3D Avenue
497,209000,Warner Bros. Interactive Entertainment
498,578310,Desertkun
499,223830,Goldhawk Interactive
500,322110,Batterystaple Games
501,345350,Square Enix
502,323580,Thunder Lotus Games
503,280,Valve
504,326410,Tasharen Entertainment Inc.
505,17440,Electronic Arts
506,253900,Topware Interactive
507,533340,New Worlds Games
508,271360,Toplitz Productions
509,551670,NedoStudio
511,721030,Papaya Play
512,311340,Konami Digital Entertainment
513,449140,treeform
514,15210,Ubisoft
515,514900,Aspyr
517,319510,Scott Cawthon
520,552620,AtomTeam
521,1900,Topware Interactive
522,286000,Pocketwatch Games
523,466860,Pixel Gangsta Studio
524,420440,Killerfish Games
527,491260,Charyb Games
528,513570,Infernal Dream
529,235900,Degica
530,293760,Camshaft Software
531,238430,"Monochrome, Inc"
532,567780,Nuno Donato
533,402220,89AM Studio
534,354920,KISS ltd
535,397350,Rebellion
536,41500,Runic Games
538,566050,Activision
539,375530,Creoteam
540,473470,New Reality Games
541,611790,"Eek! Games, LLC"
542,333640,Freehold Games
543,231350,UL
544,313010,Focus Home Interactive
545,268870,5 Lives Studios
546,288160,Fireproof Games
547,282560,Atari
548,467520,Eversim
549,394870,Black Lime Studio
550,348250,Google
551,554510,Maximum Games
552,292140,Square Enix
553,466300,Beamdog
554,478980,Fantasy Flight Games
555,233980,@unepic_fran
556,20540,SEGA
558,314970,Noble Master LLC
559,465710,Camex Games
560,561610,Milestone S.r.l.
561,458960,BANDAI NAMCO Entertainment America
562,390100,RedFox Games
563,261470,Slitherine Ltd.
565,280160,Lince Works
566,7830,1C Entertainment
567,215530,NeocoreGames
568,319910,Frozenbyte
569,448070,Microblast Games
570,533180,Abstractive Works
571,113020,Pocketwatch Games
572,641780,The Drone Racing League
573,290790,Grey Box
574,442780,Devolver Digital
575,8850,2K
576,24670,N3V Games
577,21100,Warner Bros. Interactive Entertainment
578,575550,Paradise Project
579,599460,INDIECN
580,391720,Aspyr
581,301910,Deep Silver
582,645260,Overgroup
583,740260,Hollowings
584,567250,!Lim studio
585,382080,Devdan Games
586,240320,OVALIS INVESTMENTS LIMITED
587,407000,Fixer Games
588,370540,Slitherine Ltd.
589,233800,Bohemia Interactive
590,364420,SmashGames
591,359310,Shiro Games
592,50650,Nordic Games
593,214340,Daedalic Entertainment
594,448470,Sometimes You
595,298900,Focus Home Interactive
596,455980,Suncrash
597,232050,Snowbird Games
598,13520,Ubisoft
599,261180,Team Reptile
600,251290,XSEED Games
601,15120,Ubisoft
602,420530,Degica
603,203630,Paradox Interactive
604,295550,1C Online Games
605,317600,Archaic Entertainment
606,268750,SmashGames
607,487270,André Bertaglia
608,213850,Wizards of the Coast LLC
609,335670,"Dingaling Productions, LLC"
610,9010,Bethesda-Softworks
611,576130,Lapovich Team
612,265210,RuneStorm
613,263060,IndieGala
614,290930,Filip Victor
615,307670,Good Shepherd Entertainment
616,669580,Ediogames
617,270370,Vortal Storm
618,3170,1C Entertainment
620,360830,Team17 Digital Ltd
621,13230,"Epic Games, Inc."
622,424280,SnoutUp
624,263540,Mad Otter Games
625,304530,Deep Silver
626,252870,Leafy Games
627,305260,505 Games
628,660160,Slitherine Ltd.
629,310470,Kalypso Media Digital
630,292180,Aerosoft GmbH
631,249650,Daedalic Entertainment
632,289930,astragon Entertainment 
634,337150,Handelabra Games Inc.
635,667870,No Moon
636,625140,Gravity Interactive
637,296970,Abbey Games
638,412740,Dylan Fitterer
639,545650,Double Coconut
640,579950,Telltale Games
641,58610,Eugen Systems
642,414740,Starbreeze Publishing AB
643,228760,Ubisoft
644,538590,White Dog
645,457550,"Bigscreen, Inc."
646,545110,IObit
647,61700,Ubisoft
649,712840,Paradise Project
650,363360,Split Polygon
651,420790,Crunchy Games
652,335620,Trese Brothers
653,368360,Robot Gentleman
654,370730,"KOEI TECMO GAMES CO., LTD."
655,570420,Egosoft
656,73010,Paradox Interactive
657,204340,Devolver Digital
658,393080,Activision
661,523120,MAGIX Software GmbH
662,382900,Square Enix
663,239120,Square Enix
664,71250,SEGA
665,63910,1C Entertainment
666,513620,Sometimes You
667,22350,Bethesda Softworks
668,485980,Cats Who Play
669,252110,Asteroid Base
670,98800,"Gaslamp Games, Inc."
671,505040,RTK Entertainment
672,316790,Double Fine Productions
673,555160,davevillz
674,3720,Rebellion
675,253430,DigitalDNA Games LLC
676,285010,DL Softworks
677,238750,Ubisoft
678,577230,LongYou Tech Ltd
679,546400,White Dog
680,293780,Powerhoof
681,321410,Slitherine Ltd.
682,460120,Idea Factory International
683,15320,1C Entertainment
684,506610,Scott Cawthon
685,404680,Runic Games
686,353270,Idea Factory
687,436320,Survios
688,6800,Kalypso Media Digital
689,745880,"Mediascape Co., Ltd."
690,214420,Doctor Entertainment AB
691,551730,"KOEI TECMO GAMES CO., LTD."
693,383180,Deep Silver
694,262940,Revolution Software Ltd
695,503770,Wenkly Studio Sp. z o.o.
696,25000,Wolfire Games
697,550340,MangaGamer
698,6910,Square Enix
700,41010,Devolver Digital
701,485420,Dagestan Technology
702,327140,Google
703,224760,Trapdoor
704,3480,"PopCap Games, Inc."
705,315460,Gaddy Games
706,224500,Robotronic Games
707,233720,Bossa Studios
708,16450,Warner Bros. Interactive Entertainment
709,8000,Square Enix
710,50620,THQ Nordic
711,203680,Codemasters
713,452570,Adult Swim Games
716,363090,"KOEI TECMO GAMES CO., LTD."
717,580200,Prideful Sloth
718,67370,2K
719,562810,Ubisoft
720,434030,IPACS
721,337950,Eforb
722,457710,Faton
723,263760,Secret Exit Ltd.
724,404540,Housemarque
725,583470,Edmund McMillen
726,427720,AGM PLAYISM
727,15700,Oddworld Inhabitants
728,412050,Zenz VR
729,703700,NVLMaker
730,10270,Kalypso Media Digital
731,388880,Night School Studio
732,254300,Ankama Games
733,528200,MAGIX Software GmbH
734,219830,Transhuman Design
735,206440,Freebird Games
736,248860,Blue Bottle Games
737,65790,Bohemia Interactive
738,39190,Square Enix
739,569860,Terrible Toybox
740,12150,Rockstar Games
741,25830,Paradox Interactive
742,41000,Devolver Digital
743,397100,G2CREW
744,311770,Disney Interactive
745,468070,Isokron
746,269330,Bedtime Digital Games
747,260430,Digital Leisure Inc.
748,577940,Xbox Game Studios
749,327860,Lavaboots Studios
750,340000,Adult Swim Games
751,251950,Cornered Rat Software
752,22130,Paradox Interactive
753,92800,Zachtronics
754,104900,DANKIE
755,237850,Red Thread Games
756,327090,Space Boat Studios
757,394230,2K
758,461880,Sometimes You
760,1200,Tripwire Interactive
761,368230,Raw Fury
762,595420,Out of the Park Developments
763,21000,Warner Bros. Interactive Entertainment
764,236090,Xbox Game Studios
765,317360,Double Action Factory
766,282400,THQ Nordic
767,449800,"KOEI TECMO GAMES CO., LTD."
768,11450,Codemasters
769,40700,Amanita Design
770,517160,Toast
771,521150,The Quadsphere
772,24840,Electronic Arts
773,580420,KrupinskiArt
775,625950,Lestyo
776,57730,Kalypso Media Digital
